time,latitude,longitude,depth,mag,type,gap,net,id,place
2022-02-21T00:01:50.674Z,63.1061,-150.3915,84.1,1.7,ml,,ak,ak0222dzyd9z,"70 km NNE of Petersville, Alaska"
2022-02-20T23:43:21.420Z,19.43250084,-155.600174,-1.629999995,1.75999999,md,82,hv,hv72924022,"27 km E of Honaunau-Napoopoo, Hawaii"
2022-02-20T23:34:01.972Z,63.1693,-150.284,85.2,1.5,ml,,ak,ak0222cqaylj,"71 km WSW of Cantwell, Alaska"
2022-02-20T23:30:32.221Z,60.8173,-149.8062,38.2,1.5,ml,,ak,ak0222cqa62e,"14 km SW of Hope, Alaska"
2022-02-20T23:24:53.720Z,33.7343333,-115.9786667,1.62,1.11,ml,135,ci,ci40190808,"18km NE of Thermal, CA"
2022-02-20T23:24:28.259Z,-18.5076,-71.4393,27.2,4.2,mwr,156,us,us7000gmif,"95 km S of Pacocha, Peru"
2022-02-20T23:17:32.010Z,32.294,-115.3246667,21.58,2.55,ml,155,ci,ci40190792,"14km WSW of Delta, B.C., MX"
2022-02-20T23:15:28.680Z,19.23566628,-155.4225006,32.45999908,1.84000003,md,143,hv,hv72924007,"6 km ENE of Pāhala, Hawaii"
2022-02-20T22:39:01.229Z,63.9395,-148.5344,26.5,1.4,ml,,ak,ak0222cpqlii,"23 km ENE of Healy, Alaska"
2022-02-20T22:36:44.550Z,38.838665,-122.8248367,1.98,1.44,md,67,nc,nc73695646,"9km WNW of Cobb, CA"
2022-02-20T22:11:40.080Z,34.0005,137.2208,342.92,4.5,mb,53,us,us7000gmi7,"63 km SSE of Toba, Japan"
2022-02-20T22:09:22.570Z,19.17516708,-155.4701691,34.45000076,2.28999996,md,150,hv,hv72923957,"3 km SSE of Pāhala, Hawaii"
2022-02-20T22:09:04.398Z,51.152,-179.4791,35,3.9,mb,238,us,us7000gmjb,"213 km WSW of Adak, Alaska"
2022-02-20T22:06:48.650Z,49.33283333,-120.5031667,-0.37,1.78,ml,210,uw,uw61817946,"British Columbia, Canada"
2022-02-20T22:05:43.790Z,37.6529999,-119.0175018,-1.11,1.64,md,96,nc,nc73695631,"4km WNW of Mammoth Lakes, CA"
2022-02-20T21:13:26.942Z,5.9957,126.5786,61.38,5.2,mww,69,us,us7000gmi3,"Mindanao, Philippines"
2022-02-20T21:10:38.014Z,-38.2934,176.2,186.11,4.5,mb,72,us,us7000gmi1,"17 km SSW of Rotorua, New Zealand"
2022-02-20T20:49:31.910Z,34.0356667,-117.1866667,10.93,2.65,ml,22,ci,ci40190688,"2km S of Redlands, CA"
2022-02-20T20:48:52.050Z,38.8115005,-122.7423325,2.75,0.99,md,126,nc,nc73695616,"2km SW of Cobb, CA"
2022-02-20T20:47:42.895Z,60.1522,-140.9123,14.9,1.6,ml,,ak,ak0222colj85,"94 km NW of Yakutat, Alaska"
2022-02-20T20:39:27.390Z,17.95483333,-66.87883333,15.1,1.84,md,209,pr,pr71336123,"2 km SSE of Maria Antonia, Puerto Rico"
2022-02-20T20:31:43.845Z,6.0541,126.6686,65.19,4.8,mb,162,us,us7000gmht,"64 km ESE of Pondaguitan, Philippines"
2022-02-20T20:20:11.821Z,40.7722,27.3881,10,4.4,mb,39,us,us7000gmhr,"13 km SSW of Kumbağ, Turkey"
2022-02-20T20:08:43.135Z,57.7527,-156.5915,146.46,2.5,ml,215,us,us7000gmhs,"55 km ENE of Ugashik, Alaska"
2022-02-20T20:07:06.320Z,33.2921667,-116.2358333,9.97,1.51,ml,47,ci,ci40190656,"14km ENE of Borrego Springs, CA"
2022-02-20T19:54:42.340Z,19.19050026,-155.4091644,33.33000183,1.99000001,md,196,hv,hv72923812,"7 km E of Pāhala, Hawaii"
2022-02-20T19:30:36.839Z,61.639,-146.3189,52.6,1.3,ml,,ak,ak0222cnwg03,"45 km SSE of Nelchina, Alaska"
2022-02-20T19:25:41.420Z,6.0307,126.5857,60.24,4.7,mb,109,us,us7000gmhi,"58 km SE of Pondaguitan, Philippines"
2022-02-20T19:25:37.236Z,63.0529,-148.4877,72.3,1.6,ml,,ak,ak0222cnvdgl,"44 km SSE of Cantwell, Alaska"
2022-02-20T19:13:52.333Z,61.7955,-148.8607,11.8,1.4,ml,,ak,ak0222cnst7t,"5 km WNW of Sutton-Alpine, Alaska"
2022-02-20T19:13:43.178Z,61.5891,-149.5407,34.6,1.6,ml,,ak,ak0222cnstbh,"5 km SE of Meadow Lakes, Alaska"
2022-02-20T19:13:25.969Z,28.45367432,-100.3224954,5.306681315,3.5,ml,212,tx,tx2022dovf,"6 km S of El Indio, Texas"
2022-02-20T19:12:38.570Z,19.18516731,-155.5011597,36.15999985,2.02999997,md,78,hv,hv72923752,"Island of Hawaii, Hawaii"
2022-02-20T19:08:26.438Z,61.5603,-151.5491,57.9,1.3,ml,,ak,ak0222cnrpg3,"48 km S of Skwentna, Alaska"
2022-02-20T19:02:19.310Z,36.8810005,-121.6226654,2.11,1.08,md,97,nc,nc73695601,"2km ESE of Aromas, CA"
2022-02-20T18:59:40.550Z,36.8538322,-121.5459976,3.97,1.6,md,151,nc,nc73695591,"1km NW of San Juan Bautista, CA"
2022-02-20T18:53:36.964Z,5.9912,126.471,67.57,4.4,mb,106,us,us7000gmh7,"52 km SE of Pondaguitan, Philippines"
2022-02-20T18:44:51.710Z,34.1381667,-117.522,9.09,1.15,ml,122,ci,ci40190624,"6km ENE of Rancho Cucamonga, CA"
2022-02-20T18:35:07.654Z,6.8842,-73.0814,150.45,4.3,mb,82,us,us7000gmgp,"11 km SSW of Piedecuesta, Colombia"
2022-02-20T18:30:06.227Z,48.1247,152.5369,146.55,4.6,mb,108,us,us7000gmh3,Kuril Islands
2022-02-20T18:29:28.340Z,6.0101,126.6629,71.61,5.6,mww,44,us,us7000gmgl,"Mindanao, Philippines"
2022-02-20T18:19:13.000Z,39.2996674,-123.5133362,0.49,1.92,md,147,nc,nc73695576,"18km SW of Willits, CA"
2022-02-20T18:05:14.269Z,-4.1426,153.7731,10,4.8,mb,84,us,us7000gmgn,"168 km E of Kokopo, Papua New Guinea"
2022-02-20T18:02:53.700Z,19.13816643,-155.4908295,33.09000015,2.08999991,md,180,hv,hv72923717,"7 km S of Pāhala, Hawaii"
2022-02-20T17:38:41.970Z,19.25366592,-155.4261627,33.29999924,1.74000001,md,189,hv,hv72923687,"7 km NE of Pāhala, Hawaii"
2022-02-20T17:15:37.990Z,38.8260002,-122.7886658,1.6,1.16,md,43,nc,nc73695551,"6km W of Cobb, CA"
2022-02-20T17:11:19.764Z,38.169,-117.8728,10,1.3,ml,136.87,nn,nn00834217,"32 km SE of Mina, Nevada"
2022-02-20T17:09:54.990Z,33.9101667,-118.3206667,11.26,1.94,ml,84,ci,ci40190544,"3km NNW of Gardena, CA"
2022-02-20T17:08:57.112Z,61.6514,-150.3273,55.2,1.5,ml,,ak,ak0222cmkwlr,"15 km NE of Susitna, Alaska"
2022-02-20T17:06:31.170Z,17.97916667,-66.99733333,14.34,1.74,md,167,pr,pr71336118,"5 km E of La Parguera, Puerto Rico"
2022-02-20T16:55:50.319Z,-43.0601,173.4077,9.43,4.6,mb,184,us,us7000gmgf,"56 km E of Amberley, New Zealand"
2022-02-20T16:45:09.378Z,62.4713,-148.9717,30.2,1.5,ml,,ak,ak0222cm7at5,"57 km NE of Susitna North, Alaska"
2022-02-20T16:41:24.262Z,60.3867,-147.7998,13,1.9,ml,,ak,ak0222cm6h1x,"37 km NNE of Chenega, Alaska"
2022-02-20T16:40:53.750Z,19.20866585,-155.4473267,-0.850000024,1.84000003,md,120,hv,hv72923657,"3 km E of Pāhala, Hawaii"
2022-02-20T16:16:57.850Z,19.22633362,-155.406662,32.02999878,2.0999999,md,140,hv,hv72923637,"7 km ENE of Pāhala, Hawaii"
2022-02-20T15:57:53.723Z,61.6041,-149.6594,52.4,1.5,ml,,ak,ak0222cloj7w,"3 km SW of Meadow Lakes, Alaska"
2022-02-20T15:57:23.430Z,19.18099976,-155.4815063,35.86000061,2.36,ml,76,hv,hv72923627,"2 km S of Pāhala, Hawaii"
2022-02-20T15:47:48.420Z,33.2911667,-116.2376667,9.79,1.43,ml,39,ci,ci40190512,"13km ENE of Borrego Springs, CA"
2022-02-20T15:35:09.878Z,61.1899,-151.7799,81.2,1.5,ml,,ak,ak0222cljlhd,"37 km WNW of Tyonek, Alaska"
2022-02-20T15:32:42.251Z,10.5091,-86.2461,10,4.6,mb,196,us,us7000gmg1,"65 km W of Sardinal, Costa Rica"
2022-02-20T15:30:29.387Z,62.1931,-150.8947,69.6,1.6,ml,,ak,ak0222clip0a,"34 km S of Petersville, Alaska"
2022-02-20T15:29:36.310Z,40.2653351,-124.4231644,3.05,2.13,md,301,nc,nc73695506,"14km WSW of Petrolia, CA"
2022-02-20T15:15:05.685Z,60.9567,-150.2261,51.5,1.8,ml,,ak,ak0222clfffs,"25 km E of Point Possession, Alaska"
2022-02-20T15:03:04.109Z,62.3015,-151.1219,78.1,1.6,ml,,ak,ak0222clcuq2,"28 km SW of Petersville, Alaska"
2022-02-20T14:59:23.720Z,33.9571667,-118.73,15.22,1.43,ml,145,ci,ci40190472,"9km SE of Malibu, CA"
2022-02-20T14:53:45.990Z,19.22133255,-155.3710022,33.88000107,1.95,ml,156,hv,hv72923542,"11 km E of Pāhala, Hawaii"
2022-02-20T14:41:47.555Z,62.1773,-149.0645,24.4,1.4,ml,,ak,ak0222ckznox,"41 km E of Susitna North, Alaska"
2022-02-20T14:28:20.980Z,32.9471667,-115.5526667,5.5,1.29,ml,83,ci,ci40190464,"4km SSW of Brawley, CA"
2022-02-20T14:20:48.214Z,38.1895,-117.777,0,1,ml,120.87,nn,nn00834215,"36 km SE of Mina, Nevada"
2022-02-20T14:19:47.550Z,17.92733333,-66.91966667,12.95,2.15,md,225,pr,pr71336103,"5 km SSW of Guánica, Puerto Rico"
2022-02-20T13:39:11.986Z,59.5139,-153.1496,92.1,1.6,ml,,ak,ak0222ckdpwt,"61 km ESE of Pedro Bay, Alaska"
2022-02-20T13:36:28.680Z,36.1783333,-118.0053333,1.23,1.51,ml,52,ci,ci40190432,"12km S of Olancha, CA"
2022-02-20T13:35:56.054Z,31.66679216,-104.385682,6.157275391,3,ml,130,tx,tx2022dokb,"56 km S of Whites City, New Mexico"
2022-02-20T13:10:51.638Z,60.081,-152.8783,89.9,1.3,ml,,ak,ak0222ck7jpj,"65 km WNW of Happy Valley, Alaska"
2022-02-20T13:03:20.851Z,36.26647186,-97.49667358,6.300163269,1.77,ml,98.81341553,ok,ok2022doiz,"3 km WSW of Lucien, Oklahoma"
2022-02-20T12:59:32.260Z,19.17233276,-155.4948273,33.99000168,2.25999999,md,94,hv,hv72923457,"3 km SSW of Pāhala, Hawaii"
2022-02-20T12:58:15.813Z,61.7987,-151.7999,108,4.2,ml,,ak,ak0222cjwd3a,"30 km SW of Skwentna, Alaska"
2022-02-20T12:51:13.915Z,36.37692261,-97.35108948,3.564442635,1.63,ml,132.987442,ok,ok2022doip,"11 km NNW of Perry, Oklahoma"
2022-02-20T12:48:47.533Z,10.3896,126.4558,10,4.7,mb,132,us,us7000gmff,"61 km NE of Santa Monica, Philippines"
2022-02-20T12:45:27.683Z,32.699,46.1203,10,4.4,mb,89,us,us7000gmf6,"35 km NE of Al Kūt, Iraq"
2022-02-20T12:42:06.400Z,17.9295,-66.93433333,13.48,2.25,md,221,pr,pr71336098,"5 km SSW of Guánica, Puerto Rico"
2022-02-20T12:37:56.180Z,-9.0985,124.7651,35,4.5,mb,55,us,us7000gmf4,"14 km W of Atambua, Indonesia"
2022-02-20T12:36:22.040Z,34.0228333,-117.1963333,14.61,1.53,ml,80,ci,ci40190424,"4km SSW of Redlands, CA"
2022-02-20T12:28:34.570Z,19.11366653,-155.3868408,27.57999992,1.72000003,md,190,hv,hv72923432,"13 km SE of Pāhala, Hawaii"
2022-02-20T12:01:04.790Z,33.0356667,-115.9085,2.77,1.35,ml,42,ci,ci40190408,"24km ESE of Ocotillo Wells, CA"
2022-02-20T11:59:51.732Z,63.6024,-150.1896,8.9,1.4,ml,,ak,ak0222cjb82t,Central Alaska
2022-02-20T11:58:21.247Z,-18.4339,-71.2312,30.04,5.1,mww,135,us,us7000gmez,"88 km S of Pacocha, Peru"
2022-02-20T11:53:20.092Z,62.1847,-151.1257,79.4,2.2,ml,,ak,ak0222cj9vc3,"25 km NNE of Skwentna, Alaska"
2022-02-20T11:47:08.904Z,55.277,-157.8121,26.1,5.3,ml,,ak,ak0222cj8k1s,"109 km SE of Perryville, Alaska"
2022-02-20T11:39:52.721Z,38.1708,-117.8236,3.5,1.1,ml,115.07,nn,nn00834212,"34 km SE of Mina, Nevada"
2022-02-20T11:28:55.970Z,60.3017,-151.7781,61.2,1.6,ml,,ak,ak0222cj4l7d,"22 km WNW of Clam Gulch, Alaska"
2022-02-20T11:27:00.422Z,36.4763,70.6878,199,4.3,mb,77,us,us7000gmer,"45 km SSW of Jurm, Afghanistan"
2022-02-20T11:23:47.780Z,33.4301667,-116.5995,7.58,1.02,ml,40,ci,ci40190400,"16km SSE of Anza, CA"
2022-02-20T11:18:41.220Z,19.1704998,-155.4996643,33.75,1.89999998,md,107,hv,hv72923372,"4 km SSW of Pāhala, Hawaii"
2022-02-20T11:11:34.520Z,38.8043327,-122.7811661,1.27,1.05,md,64,nc,nc73695446,"4km NW of The Geysers, CA"
2022-02-20T11:09:38.670Z,33.5071667,-116.5061667,12.03,1.15,ml,48,ci,ci40190384,"16km ESE of Anza, CA"
2022-02-20T11:06:55.050Z,19.20383263,-155.4033356,32.61000061,1.95000005,md,157,hv,hv72923362,"7 km E of Pāhala, Hawaii"
2022-02-20T11:06:22.060Z,35.12,-118.9863333,4.06,0.96,ml,220,ci,ci40190376,"17km SSW of Lamont, CA"
2022-02-20T11:05:48.890Z,35.0941667,-119.007,15.91,1.36,ml,147,ci,ci40190368,"18km NNW of Grapevine, CA"
2022-02-20T10:54:14.510Z,33.2268333,-115.5788333,1.55,1.29,ml,105,ci,ci40190360,"6km WSW of Niland, CA"
2022-02-20T10:52:20.670Z,17.92583333,-66.27683333,7.55,2.6,md,185,pr,pr71336083,"6 km SSE of Salinas, Puerto Rico"
2022-02-20T10:50:03.231Z,59.4101,-152.7288,68.6,2.3,ml,,ak,ak0222cinra7,"46 km W of Nanwalek, Alaska"
2022-02-20T10:49:42.098Z,23.8919,122.5565,29.58,4.5,mwr,98,us,us7000gmek,"77 km SW of Yonakuni, Japan"
2022-02-20T10:45:17.229Z,63.2186,-151.6158,14.2,2.6,ml,,ak,ak0222cimpp9,"36 km S of Denali National Park, Alaska"
2022-02-20T10:44:57.040Z,35.6843333,-117.5236667,10.86,1.11,ml,102,ci,ci40190344,"14km SW of Searles Valley, CA"
2022-02-20T10:44:52.940Z,44.4183333,-115.2013333,5.38,2.13,ml,82,mb,mb80538784,"30 km NW of Stanley, Idaho"
2022-02-20T10:44:22.870Z,33.9465,-116.6633333,11.5,1.5,ml,39,ci,ci40190336,"12km ENE of Cabazon, CA"
2022-02-20T10:38:07.155Z,63.1851,-150.678,103,1.7,ml,,ak,ak0222cil6yu,"65 km SE of Denali National Park, Alaska"
2022-02-20T10:33:24.570Z,-21.1738,-68.6072,140.46,4.2,mb,57,us,us7000gmee,"145 km NNE of Calama, Chile"
2022-02-20T10:32:29.261Z,59.7498,-153.1635,107.8,1.2,ml,,ak,ak0222cijyek,"53 km E of Pedro Bay, Alaska"
2022-02-20T10:23:10.343Z,56.9207,-156.1075,67.5,2.9,ml,161,us,us7000gmeb,"102 km SE of Ugashik, Alaska"
2022-02-20T10:18:32.981Z,60.1679,-140.8348,12.3,1.7,ml,,ak,ak0222cigynk,"92 km NW of Yakutat, Alaska"
2022-02-20T10:10:32.547Z,63.2165,-149.2229,94.5,1.5,ml,,ak,ak0222cif8wm,"23 km SW of Cantwell, Alaska"
2022-02-20T10:09:41.490Z,18.938,-68.6228,5,3.98,md,163,pr,pr2022051003,"32 km N of Otra Banda, Dominican Republic"
2022-02-20T09:59:44.230Z,44.7885,-111.645,8.54,1.13,ml,106,mb,mb80538779,"36 km W of Hebgen Lake Estates, Montana"
2022-02-20T09:53:04.920Z,17.86516667,-66.877,12.23,1.9,md,248,pr,pr71336058,"12 km SSE of Guánica, Puerto Rico"
2022-02-20T09:51:22.190Z,32.4038333,-115.2395,16.07,2.36,ml,102,ci,ci40190328,"7km NW of Delta, B.C., MX"
2022-02-20T09:41:06.945Z,38.1794,-117.9291,8.9,1.4,ml,109.16,nn,nn00834209,"28 km SE of Mina, Nevada"
2022-02-20T09:37:50.061Z,38.1543,-117.9365,10.8,3.4,ml,79.86,nn,nn00834205,"30 km SSE of Mina, Nevada"
2022-02-20T09:37:25.727Z,36.5087,70.1132,212.97,4.4,mb,77,us,us7000gme4,"23 km ESE of Farkhār, Afghanistan"
2022-02-20T09:34:18.070Z,19.23016739,-155.3975067,33.75,2.45,ml,143,hv,hv72923262,"9 km ENE of Pāhala, Hawaii"
2022-02-20T09:34:09.560Z,19.21883392,-155.3738403,30.10000038,2.42,ml,157,hv,hv72923257,"11 km E of Pāhala, Hawaii"
2022-02-20T09:18:53.411Z,63.102,-151.1001,32.8,1.6,ml,,ak,ak0222chvkn1,"58 km SSE of Denali National Park, Alaska"
2022-02-20T09:11:20.121Z,40.0611,-119.9858,10.1,1.5,ml,184.66,nn,nn00834203,"10 km ENE of Doyle, California"
2022-02-20T09:08:22.097Z,60.5794,-143.8461,0,1.7,ml,,ak,ak0222chtd28,"104 km E of Cordova, Alaska"
2022-02-20T09:07:23.370Z,34.2885,-116.8058333,4.77,1.28,ml,42,ci,ci40190288,"5km NE of Big Bear City, CA"
2022-02-20T09:02:44.670Z,59.2307,-152.1571,63.8,1.6,ml,,ak,ak0222chs4mq,"19 km SW of Nanwalek, Alaska"
2022-02-20T08:53:43.165Z,55.2836,-162.089,156.3,2.4,ml,,ak,ak0222chhn67,"28 km NNE of King Cove, Alaska"
2022-02-20T08:43:18.990Z,17.946,-66.88416667,11.09,2.15,md,210,pr,pr71336108,"3 km S of Maria Antonia, Puerto Rico"
2022-02-20T08:43:18.980Z,17.94466667,-66.88483333,11.42,2.48,md,211,pr,pr71336043,"3 km S of Maria Antonia, Puerto Rico"
2022-02-20T08:42:23.276Z,38.1903,-117.8085,1.7,1.8,ml,111.32,nn,nn00834199,"34 km SE of Mina, Nevada"
2022-02-20T08:41:02.650Z,18.79633331,-155.12883,15.18000031,2.04999995,md,274,hv,hv72923217,"56 km ESE of Naalehu, Hawaii"
2022-02-20T08:39:10.150Z,17.94783333,-66.8845,10.51,2.54,md,209,pr,pr71336038,"3 km S of Maria Antonia, Puerto Rico"
2022-02-20T08:37:39.380Z,17.9245,-66.93016667,12.03,1.71,md,198,pr,pr71336033,"5 km SSW of Guánica, Puerto Rico"
2022-02-20T08:36:19.759Z,38.3845,-118.8939,1.1,1.3,ml,152,nn,nn00834198,"28 km WSW of Hawthorne, Nevada"
2022-02-20T08:21:02.484Z,61.3842,-149.9092,33.3,1.9,ml,,ak,ak0222chao7c,"4 km NE of Point MacKenzie, Alaska"
2022-02-20T08:21:00.400Z,18.84966667,-66.48866667,45.97,3.05,md,237,pr,pr71336028,"42 km N of Tierras Nuevas Poniente, Puerto Rico"
2022-02-20T08:14:19.390Z,19.1765,-66.1243,24,3.93,md,243,pr,pr2022051002,"78 km N of San Juan, Puerto Rico"
2022-02-20T08:13:59.830Z,17.9515,-66.9685,14.47,1.97,md,210,pr,pr71336023,"6 km WSW of Guánica, Puerto Rico"
2022-02-20T08:09:39.570Z,33.7328333,-116.8205,14.61,1.12,ml,51,ci,ci37488989,"7km ESE of Valle Vista, CA"
2022-02-20T08:08:41.410Z,36.063,-117.657,1.35,1,ml,146,ci,ci40190240,"26km E of Coso Junction, CA"
2022-02-20T07:45:41.194Z,61.9672,-150.2446,13.8,1.8,ml,,ak,ak0222cgugtt,"26 km NNW of Willow, Alaska"
2022-02-20T07:44:30.530Z,19.24216652,-155.3908386,33.04999924,2.17,ml,139,hv,hv72923162,"10 km ENE of Pāhala, Hawaii"
2022-02-20T07:33:32.340Z,19.0225,-155.3225,2.42,3.23,ml,254,hv,hv72923157,"25 km SE of Pāhala, Hawaii"
2022-02-20T07:31:16.088Z,38.5293,-119.4819,6.4,1.2,ml,161.96,nn,nn00834195,Central California
2022-02-20T07:26:28.782Z,62.9425,-151.2857,110.8,2,ml,,ak,ak0222cgqdbb,Central Alaska
2022-02-20T07:23:00.520Z,19.02866667,-155.3228333,5.89,3.29,ml,254,hv,hv72923152,"25 km SE of Pāhala, Hawaii"
2022-02-20T07:14:05.460Z,35.6348333,-117.4375,5.2,1.78,ml,96,ci,ci40190216,"15km SSW of Searles Valley, CA"
2022-02-20T07:13:37.439Z,63.0902,-151.4771,2.5,1.7,ml,,ak,ak0222cgnlm8,"51 km SSE of Denali National Park, Alaska"
2022-02-20T07:05:03.710Z,17.97983333,-66.85366667,12.18,1.85,md,185,pr,pr71336003,"3 km E of Maria Antonia, Puerto Rico"
